Alloy Name,DOIs
Al0.3CrFeCoNi,"['10.1016.j.actamat.2019.12.015', '10.1016.j.corsci.2023.111097', '10.1016.j.pmatsci.2023.101090', '10.1016.j.jallcom.2020.158436', '10.1016.j.intermet.2024.108206', '10.1016.j.msea.2022.144094', '10.1016.j.intermet.2020.106897', '10.1016.j.surfcoat.2023.129832', '10.1016.j.jnucmat.2022.153814', '10.1016.j.scriptamat.2020.05.049', '10.1016.j.scriptamat.2018.06.034']"
Al0.3CrFeCoNiNb0.5,"['10.1016.j.surfcoat.2023.129832', '10.1016.j.jallcom.2023.171521']"
Al0.3CrFeNi,"['10.1016.j.jmrt.2023.10.266', '10.1016.j.jallcom.2021.159991']"
Al0.3Cu0.5CoCrFeNi,"['10.1016.j.pmatsci.2021.100854', '10.1016.j.jallcom.2022.165956', '10.1016.j.jallcom.2016.05.337']"
Al0.3CuCrFeNi2,"['10.1016.j.scriptamat.2016.06.019', '10.1016.j.apsusc.2023.159285', '10.1016.j.corsci.2021.109984']"
Al0.3FeCoCrNi,"['10.1016.j.matchar.2019.109989', '10.1016.j.msea.2022.143468']"
Al0.3FeCoCrNiMn,"['10.1016.j.jallcom.2023.170826', '10.1016.j.msea.2020.139446']"
Al0.3HfNbTaTiZr,"['10.1016.j.pmatsci.2020.100714', '10.1016.j.jallcom.2014.11.064']"
Al0.3Ti0.2Co0.7CrFeNi1.7,"['10.1016.j.actamat.2023.119248', '10.1016.j.msea.2022.143505']"
Al0.3Ti0.2CoFeNi,"['10.1016.j.actamat.2021.116938', '10.1016.j.actamat.2023.119248']"
Al0.44CoCrFeNi,"['10.1016.j.matdes.2023.111847', '10.1016.j.jnucmat.2023.154342']"
Al0.45CoCrCuFeNi,"['10.1016.j.jallcom.2015.12.004', '10.1016.j.jallcom.2013.08.176', '10.1016.j.intermet.2012.08.015']"
Al0.45CoCrFeNi,"['10.1016.j.matdes.2023.111847', '10.1016.j.intermet.2018.01.021', '10.1016.j.jmst.2020.01.057', '10.1016.j.vacuum.2020.109875', '10.1016.j.jmrt.2023.12.079', '10.1016.j.matdes.2019.107910', '10.1016.j.commatsci.2022.111762']"
Al0.45CoCrFeNiSi0.45,"['10.1016.j.mtcomm.2024.108036', '10.1016.j.vacuum.2021.110412']"
Al0.4Co0.5V0.2FeNi,"['10.1016.j.jallcom.2022.165043', '10.1016.j.matdes.2023.112493']"
